danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.633,0.691,5,-5.851,1,0.0557,0.329,0.000211,0.134,0.57,80.002,audio_features,2bTOQ3zfHVDEBX9ffy3JzR,spotify:track:2bTOQ3zfHVDEBX9ffy3JzR,https://api.spotify.com/v1/tracks/2bTOQ3zfHVDEBX9ffy3JzR,https://api.spotify.com/v1/audio-analysis/2bTOQ3zfHVDEBX9ffy3JzR,427547,4
0.786,0.579,2,-14.913,1,0.142,0.186,0.0,0.118,0.481,90.012,audio_features,7ltsfuHdqTZ5LwPpDy1q0v,spotify:track:7ltsfuHdqTZ5LwPpDy1q0v,https://api.spotify.com/v1/tracks/7ltsfuHdqTZ5LwPpDy1q0v,https://api.spotify.com/v1/audio-analysis/7ltsfuHdqTZ5LwPpDy1q0v,416613,4
0.599,0.653,0,-7.576,0,0.122,0.362,0.0,0.144,0.678,79.968,audio_features,0gRNu9dVzi5aC87AI1empZ,spotify:track:0gRNu9dVzi5aC87AI1empZ,https://api.spotify.com/v1/tracks/0gRNu9dVzi5aC87AI1empZ,https://api.spotify.com/v1/audio-analysis/0gRNu9dVzi5aC87AI1empZ,284573,4
0.547,0.554,7,-11.165,1,0.0374,0.602,0.000155,0.0735,0.848,91.386,audio_features,4RixtPhUXlci9ad4qIMj23,spotify:track:4RixtPhUXlci9ad4qIMj23,https://api.spotify.com/v1/tracks/4RixtPhUXlci9ad4qIMj23,https://api.spotify.com/v1/audio-analysis/4RixtPhUXlci9ad4qIMj23,297867,4
0.907,0.74,9,-5.059,0,0.0857,0.0214,0.00196,0.193,0.796,95.002,audio_features,1FLwFOt3pBEikXjtarBqmh,spotify:track:1FLwFOt3pBEikXjtarBqmh,https://api.spotify.com/v1/tracks/1FLwFOt3pBEikXjtarBqmh,https://api.spotify.com/v1/audio-analysis/1FLwFOt3pBEikXjtarBqmh,207084,4
0.607,0.52,7,-10.84,0,0.31,0.123,0.0,0.119,0.919,180.107,audio_features,4aL9YT977aLLBNYGvUocNZ,spotify:track:4aL9YT977aLLBNYGvUocNZ,https://api.spotify.com/v1/tracks/4aL9YT977aLLBNYGvUocNZ,https://api.spotify.com/v1/audio-analysis/4aL9YT977aLLBNYGvUocNZ,183000,3
0.836,0.51,1,-10.091,0,0.371,0.713,3.35e-05,0.101,0.56,151.499,audio_features,5JO2usoem1CW1pLL1kLj9E,spotify:track:5JO2usoem1CW1pLL1kLj9E,https://api.spotify.com/v1/tracks/5JO2usoem1CW1pLL1kLj9E,https://api.spotify.com/v1/audio-analysis/5JO2usoem1CW1pLL1kLj9E,162772,3
0.746,0.693,5,-7.13,0,0.0458,0.213,0.0,0.103,0.891,125.953,audio_features,2XXUhkRwuHFIWhNfHPPZQ3,spotify:track:2XXUhkRwuHFIWhNfHPPZQ3,https://api.spotify.com/v1/tracks/2XXUhkRwuHFIWhNfHPPZQ3,https://api.spotify.com/v1/audio-analysis/2XXUhkRwuHFIWhNfHPPZQ3,98640,4
0.701,0.902,11,-7.207,0,0.364,0.277,0.00218,0.265,0.0836,139.748,audio_features,6BizyNqcM7O8tWkRm2AuDm,spotify:track:6BizyNqcM7O8tWkRm2AuDm,https://api.spotify.com/v1/tracks/6BizyNqcM7O8tWkRm2AuDm,https://api.spotify.com/v1/audio-analysis/6BizyNqcM7O8tWkRm2AuDm,232986,4
0.375,0.838,9,-3.761,0,0.278,0.0619,0.000499,0.337,0.102,149.958,audio_features,5Zoe8tHOVTMOzeapdpQeYL,spotify:track:5Zoe8tHOVTMOzeapdpQeYL,https://api.spotify.com/v1/tracks/5Zoe8tHOVTMOzeapdpQeYL,https://api.spotify.com/v1/audio-analysis/5Zoe8tHOVTMOzeapdpQeYL,168080,4
