danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,audio_features,1XXimziG1uhM0eDNCZCrUl,spotify:track:1XXimziG1uhM0eDNCZCrUl,https://api.spotify.com/v1/tracks/1XXimziG1uhM0eDNCZCrUl,https://api.spotify.com/v1/audio-analysis/1XXimziG1uhM0eDNCZCrUl,156945,4
0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4
0.926,0.703,11,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,audio_features,6KBYefIoo7KydImq1uUQlL,spotify:track:6KBYefIoo7KydImq1uUQlL,https://api.spotify.com/v1/tracks/6KBYefIoo7KydImq1uUQlL,https://api.spotify.com/v1/audio-analysis/6KBYefIoo7KydImq1uUQlL,223713,4
0.95,0.59,8,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.003,audio_features,2GGMabyHXnJmjY6CXhhB2e,spotify:track:2GGMabyHXnJmjY6CXhhB2e,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e,https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e,183527,4
0.82,0.568,6,-8.23,0,0.411,0.0256,0.0,0.0952,0.535,152.279,audio_features,2Yl4OmDby9iitgNWZPwxkd,spotify:track:2Yl4OmDby9iitgNWZPwxkd,https://api.spotify.com/v1/tracks/2Yl4OmDby9iitgNWZPwxkd,https://api.spotify.com/v1/audio-analysis/2Yl4OmDby9iitgNWZPwxkd,210787,4
0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,audio_features,0PG9fbaaHFHfre2gUVo7AN,spotify:track:0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,200890,4
0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,audio_features,4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,212500,4
0.968,0.589,11,-7.808,1,0.255,0.0511,0.0,0.0731,0.268,129.993,audio_features,2qcG0nZ6S3zZV0UrkY5nFo,spotify:track:2qcG0nZ6S3zZV0UrkY5nFo,https://api.spotify.com/v1/tracks/2qcG0nZ6S3zZV0UrkY5nFo,https://api.spotify.com/v1/audio-analysis/2qcG0nZ6S3zZV0UrkY5nFo,262308,4
0.908,0.524,1,-7.955,1,0.181,0.00111,0.000678,0.383,0.109,138.015,audio_features,0dIoGTQXDh1wVnhIiSyYEa,spotify:track:0dIoGTQXDh1wVnhIiSyYEa,https://api.spotify.com/v1/tracks/0dIoGTQXDh1wVnhIiSyYEa,https://api.spotify.com/v1/audio-analysis/0dIoGTQXDh1wVnhIiSyYEa,224285,4
0.806,0.57,1,-6.927,1,0.246,0.0977,0.0,0.105,0.454,93.015,audio_features,7p2ewixAShLpjDZrnzZK7c,spotify:track:7p2ewixAShLpjDZrnzZK7c,https://api.spotify.com/v1/tracks/7p2ewixAShLpjDZrnzZK7c,https://api.spotify.com/v1/audio-analysis/7p2ewixAShLpjDZrnzZK7c,231453,4
0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,audio_features,58q2HKrzhC3ozto2nDdN4z,spotify:track:58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,253390,4
0.884,0.814,7,-5.333,1,0.303,0.154,1.67e-06,0.158,0.907,155.938,audio_features,17Yq72h0p15OhCbZ5lJ5gd,spotify:track:17Yq72h0p15OhCbZ5lJ5gd,https://api.spotify.com/v1/tracks/17Yq72h0p15OhCbZ5lJ5gd,https://api.spotify.com/v1/audio-analysis/17Yq72h0p15OhCbZ5lJ5gd,181624,4
0.771,0.757,4,-5.74,0,0.204,0.444,0.0016,0.102,0.451,189.943,audio_features,1uUW9fIeM7z3GBi2fRJxD5,spotify:track:1uUW9fIeM7z3GBi2fRJxD5,https://api.spotify.com/v1/tracks/1uUW9fIeM7z3GBi2fRJxD5,https://api.spotify.com/v1/audio-analysis/1uUW9fIeM7z3GBi2fRJxD5,185684,4
0.767,0.543,1,-7.881,0,0.103,0.049,0.0,0.115,0.485,106.029,audio_features,5DfWF0jqMgZDCiu9zJENTA,spotify:track:5DfWF0jqMgZDCiu9zJENTA,https://api.spotify.com/v1/tracks/5DfWF0jqMgZDCiu9zJENTA,https://api.spotify.com/v1/audio-analysis/5DfWF0jqMgZDCiu9zJENTA,177140,4
0.947,0.788,10,-6.138,0,0.124,0.107,0.000691,0.108,0.454,129.977,audio_features,1vBeIXlzbAieGoDqInav5j,spotify:track:1vBeIXlzbAieGoDqInav5j,https://api.spotify.com/v1/tracks/1vBeIXlzbAieGoDqInav5j,https://api.spotify.com/v1/audio-analysis/1vBeIXlzbAieGoDqInav5j,229005,4
0.62,0.625,9,-7.438,1,0.553,0.287,0.0,0.314,0.665,167.911,audio_features,00B7TZ0Xawar6NZ00JFomN,spotify:track:00B7TZ0Xawar6NZ00JFomN,https://api.spotify.com/v1/tracks/00B7TZ0Xawar6NZ00JFomN,https://api.spotify.com/v1/audio-analysis/00B7TZ0Xawar6NZ00JFomN,284856,4
