danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.688,0.941,6,-5.23,0,0.0583,0.0811,2.89e-06,0.0697,0.909,138.047,audio_features,6p56DuuwZQYSNgeB7fgRkZ,spotify:track:6p56DuuwZQYSNgeB7fgRkZ,https://api.spotify.com/v1/tracks/6p56DuuwZQYSNgeB7fgRkZ,https://api.spotify.com/v1/audio-analysis/6p56DuuwZQYSNgeB7fgRkZ,260552,4
0.806,0.932,2,-2.228,0,0.0684,0.24,0.0,0.216,0.792,106.021,audio_features,4eu27jAU2bbnyHUC3G75U8,spotify:track:4eu27jAU2bbnyHUC3G75U8,https://api.spotify.com/v1/tracks/4eu27jAU2bbnyHUC3G75U8,https://api.spotify.com/v1/audio-analysis/4eu27jAU2bbnyHUC3G75U8,252760,4
0.684,0.958,1,-4.793,1,0.264,0.314,1.94e-06,0.618,0.817,163.95,audio_features,3VXh3jYTW3lTxtXRnu2TKP,spotify:track:3VXh3jYTW3lTxtXRnu2TKP,https://api.spotify.com/v1/tracks/3VXh3jYTW3lTxtXRnu2TKP,https://api.spotify.com/v1/audio-analysis/3VXh3jYTW3lTxtXRnu2TKP,275399,4
0.623,0.924,4,-4.481,0,0.142,0.00764,2.73e-06,0.557,0.506,135.968,audio_features,6HQbaD0RomfUPO4KK866oI,spotify:track:6HQbaD0RomfUPO4KK866oI,https://api.spotify.com/v1/tracks/6HQbaD0RomfUPO4KK866oI,https://api.spotify.com/v1/audio-analysis/6HQbaD0RomfUPO4KK866oI,306582,4
0.825,0.798,7,-3.792,1,0.321,0.361,0.0,0.194,0.596,137.981,audio_features,3AKgg2xh1XZEmB8vNks2Gi,spotify:track:3AKgg2xh1XZEmB8vNks2Gi,https://api.spotify.com/v1/tracks/3AKgg2xh1XZEmB8vNks2Gi,https://api.spotify.com/v1/audio-analysis/3AKgg2xh1XZEmB8vNks2Gi,272290,4
0.752,0.978,0,-4.786,1,0.23,0.516,0.0,0.32,0.804,82.988,audio_features,2Ggpu9s4UP2fO7bjgBMiss,spotify:track:2Ggpu9s4UP2fO7bjgBMiss,https://api.spotify.com/v1/tracks/2Ggpu9s4UP2fO7bjgBMiss,https://api.spotify.com/v1/audio-analysis/2Ggpu9s4UP2fO7bjgBMiss,271900,4
0.734,0.957,4,-3.104,1,0.121,0.0191,3.23e-05,0.595,0.715,99.992,audio_features,0YKEBiwNh4VGsuf99aNfLa,spotify:track:0YKEBiwNh4VGsuf99aNfLa,https://api.spotify.com/v1/tracks/0YKEBiwNh4VGsuf99aNfLa,https://api.spotify.com/v1/audio-analysis/0YKEBiwNh4VGsuf99aNfLa,293955,4
0.864,0.724,7,-5.627,1,0.206,0.0305,9.99e-05,0.0372,0.634,103.01,audio_features,3ZkmX9dKgLKUa2r026Xm3Y,spotify:track:3ZkmX9dKgLKUa2r026Xm3Y,https://api.spotify.com/v1/tracks/3ZkmX9dKgLKUa2r026Xm3Y,https://api.spotify.com/v1/audio-analysis/3ZkmX9dKgLKUa2r026Xm3Y,273827,4
0.798,0.766,11,-7.154,0,0.131,0.224,0.0,0.0916,0.768,135.008,audio_features,4UJih0aZ8YcQm4CIErba45,spotify:track:4UJih0aZ8YcQm4CIErba45,https://api.spotify.com/v1/tracks/4UJih0aZ8YcQm4CIErba45,https://api.spotify.com/v1/audio-analysis/4UJih0aZ8YcQm4CIErba45,321320,4
0.638,0.785,10,-2.612,1,0.044,0.185,0.0,0.245,0.515,91.101,audio_features,2ufLEVbzvEcJ3subW8jBUp,spotify:track:2ufLEVbzvEcJ3subW8jBUp,https://api.spotify.com/v1/tracks/2ufLEVbzvEcJ3subW8jBUp,https://api.spotify.com/v1/audio-analysis/2ufLEVbzvEcJ3subW8jBUp,228031,4
0.4,0.694,3,-8.486,1,0.0621,0.573,0.0,0.874,0.727,153.902,audio_features,1bjVZ85Wr90swSeNub1F79,spotify:track:1bjVZ85Wr90swSeNub1F79,https://api.spotify.com/v1/tracks/1bjVZ85Wr90swSeNub1F79,https://api.spotify.com/v1/audio-analysis/1bjVZ85Wr90swSeNub1F79,859345,3
0.482,0.562,1,-9.913,1,0.0663,0.616,0.0,0.571,0.445,116.466,audio_features,2BEz4jg4iTuoRHotloYvhA,spotify:track:2BEz4jg4iTuoRHotloYvhA,https://api.spotify.com/v1/tracks/2BEz4jg4iTuoRHotloYvhA,https://api.spotify.com/v1/audio-analysis/2BEz4jg4iTuoRHotloYvhA,1163282,4
0.459,0.334,4,-14.774,1,0.0704,0.88,1.34e-05,0.463,0.371,122.578,audio_features,1MV8azVvPKdlCowOg08zrp,spotify:track:1MV8azVvPKdlCowOg08zrp,https://api.spotify.com/v1/tracks/1MV8azVvPKdlCowOg08zrp,https://api.spotify.com/v1/audio-analysis/1MV8azVvPKdlCowOg08zrp,1410293,4
0.677,0.906,3,-4.307,0,0.152,0.0469,0.000583,0.0902,0.819,89.959,audio_features,7t7bFIEU06QMD2RaMkqMaf,spotify:track:7t7bFIEU06QMD2RaMkqMaf,https://api.spotify.com/v1/tracks/7t7bFIEU06QMD2RaMkqMaf,https://api.spotify.com/v1/audio-analysis/7t7bFIEU06QMD2RaMkqMaf,292589,4
