danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.649,0.716,7,-3.936,1,0.0384,0.268,4.51e-06,0.603,0.639,86.949,audio_features,4f5kLqyOJ5ZPnalEVMQrB2,spotify:track:4f5kLqyOJ5ZPnalEVMQrB2,https://api.spotify.com/v1/tracks/4f5kLqyOJ5ZPnalEVMQrB2,https://api.spotify.com/v1/audio-analysis/4f5kLqyOJ5ZPnalEVMQrB2,230948,4
0.71,0.813,7,-6.099,1,0.0381,0.545,1.68e-05,0.105,0.847,139.998,audio_features,4wANB882g1ZhF2V8ugksY1,spotify:track:4wANB882g1ZhF2V8ugksY1,https://api.spotify.com/v1/tracks/4wANB882g1ZhF2V8ugksY1,https://api.spotify.com/v1/audio-analysis/4wANB882g1ZhF2V8ugksY1,210346,4
0.718,0.83,4,-5.488,0,0.0505,0.404,2.5e-05,0.124,0.771,105.012,audio_features,50sbcAcWHgDPRDkYBEUpkA,spotify:track:50sbcAcWHgDPRDkYBEUpkA,https://api.spotify.com/v1/tracks/50sbcAcWHgDPRDkYBEUpkA,https://api.spotify.com/v1/audio-analysis/50sbcAcWHgDPRDkYBEUpkA,220382,4
0.453,0.305,5,-7.578,1,0.0293,0.881,0.0,0.133,0.543,79.0,audio_features,0hVXFWS00liq3W2YAQUma4,spotify:track:0hVXFWS00liq3W2YAQUma4,https://api.spotify.com/v1/tracks/0hVXFWS00liq3W2YAQUma4,https://api.spotify.com/v1/audio-analysis/0hVXFWS00liq3W2YAQUma4,204234,4
0.484,0.565,11,-7.954,1,0.0347,0.479,2.13e-06,0.105,0.607,82.653,audio_features,4KCbZcshgibfJSCAkg87Lv,spotify:track:4KCbZcshgibfJSCAkg87Lv,https://api.spotify.com/v1/tracks/4KCbZcshgibfJSCAkg87Lv,https://api.spotify.com/v1/audio-analysis/4KCbZcshgibfJSCAkg87Lv,281992,4
0.401,0.517,2,-6.618,0,0.0481,0.0661,0.0,0.202,0.471,128.451,audio_features,1HT0RzPuChHC1kWbIplHyw,spotify:track:1HT0RzPuChHC1kWbIplHyw,https://api.spotify.com/v1/tracks/1HT0RzPuChHC1kWbIplHyw,https://api.spotify.com/v1/audio-analysis/1HT0RzPuChHC1kWbIplHyw,325312,4
0.585,0.687,9,-4.553,1,0.0724,0.551,6.7e-06,0.121,0.815,85.871,audio_features,6lHBOxVVbjkmByOjHRC2bA,spotify:track:6lHBOxVVbjkmByOjHRC2bA,https://api.spotify.com/v1/tracks/6lHBOxVVbjkmByOjHRC2bA,https://api.spotify.com/v1/audio-analysis/6lHBOxVVbjkmByOjHRC2bA,315013,4
0.782,0.694,1,-5.356,0,0.0733,0.482,0.0,0.757,0.601,119.036,audio_features,1vG2VKmXPAXrYush08oZLy,spotify:track:1vG2VKmXPAXrYush08oZLy,https://api.spotify.com/v1/tracks/1vG2VKmXPAXrYush08oZLy,https://api.spotify.com/v1/audio-analysis/1vG2VKmXPAXrYush08oZLy,228266,4
0.585,0.759,0,-4.029,0,0.047,0.385,0.0,0.162,0.512,139.986,audio_features,4faUCG0CdNgMx0NkMMseOl,spotify:track:4faUCG0CdNgMx0NkMMseOl,https://api.spotify.com/v1/tracks/4faUCG0CdNgMx0NkMMseOl,https://api.spotify.com/v1/audio-analysis/4faUCG0CdNgMx0NkMMseOl,299141,4
0.637,0.573,11,-6.69,0,0.0491,0.279,3.46e-06,0.0617,0.704,90.017,audio_features,0u8wprNfOdcWpUlWnfMcpP,spotify:track:0u8wprNfOdcWpUlWnfMcpP,https://api.spotify.com/v1/tracks/0u8wprNfOdcWpUlWnfMcpP,https://api.spotify.com/v1/audio-analysis/0u8wprNfOdcWpUlWnfMcpP,306834,4
