danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.468,0.854,11,-3.932,0,0.059,0.176,0.0,0.126,0.277,155.867,audio_features,4xmkpE1Si5JL7NFxWrhV0S,spotify:track:4xmkpE1Si5JL7NFxWrhV0S,https://api.spotify.com/v1/tracks/4xmkpE1Si5JL7NFxWrhV0S,https://api.spotify.com/v1/audio-analysis/4xmkpE1Si5JL7NFxWrhV0S,299822,4
0.633,0.904,7,-5.09,0,0.0564,0.0337,4.31e-05,0.122,0.259,124.008,audio_features,5bAed2aRbQbjDZF9qkNSA2,spotify:track:5bAed2aRbQbjDZF9qkNSA2,https://api.spotify.com/v1/tracks/5bAed2aRbQbjDZF9qkNSA2,https://api.spotify.com/v1/audio-analysis/5bAed2aRbQbjDZF9qkNSA2,192097,4
0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,audio_features,7CY0CmCpSglfUKCBOOiRfw,spotify:track:7CY0CmCpSglfUKCBOOiRfw,https://api.spotify.com/v1/tracks/7CY0CmCpSglfUKCBOOiRfw,https://api.spotify.com/v1/audio-analysis/7CY0CmCpSglfUKCBOOiRfw,188606,4
0.634,0.648,3,-6.781,0,0.0412,0.361,0.0,0.619,0.667,95.989,audio_features,17uI7afUaul1hCzMTF9txd,spotify:track:17uI7afUaul1hCzMTF9txd,https://api.spotify.com/v1/tracks/17uI7afUaul1hCzMTF9txd,https://api.spotify.com/v1/audio-analysis/17uI7afUaul1hCzMTF9txd,247812,4
0.788,0.87,9,-5.217,1,0.177,0.123,1.43e-05,0.0692,0.884,109.974,audio_features,6q9XTgfWilsnyiFofvYrIF,spotify:track:6q9XTgfWilsnyiFofvYrIF,https://api.spotify.com/v1/tracks/6q9XTgfWilsnyiFofvYrIF,https://api.spotify.com/v1/audio-analysis/6q9XTgfWilsnyiFofvYrIF,182739,4
0.747,0.865,7,-5.991,1,0.0451,0.00279,0.00058,0.0764,0.209,124.985,audio_features,1WzOH0E1W1z5jcLluumQGE,spotify:track:1WzOH0E1W1z5jcLluumQGE,https://api.spotify.com/v1/tracks/1WzOH0E1W1z5jcLluumQGE,https://api.spotify.com/v1/audio-analysis/1WzOH0E1W1z5jcLluumQGE,271279,4
0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,audio_features,0WdbnNKO0Jt4BZACSDQh44,spotify:track:0WdbnNKO0Jt4BZACSDQh44,https://api.spotify.com/v1/tracks/0WdbnNKO0Jt4BZACSDQh44,https://api.spotify.com/v1/audio-analysis/0WdbnNKO0Jt4BZACSDQh44,302935,4
0.825,0.904,5,-5.414,0,0.0787,0.257,1.21e-05,0.0715,0.528,129.036,audio_features,6lfSsCL894Qw15xbt7cSUy,spotify:track:6lfSsCL894Qw15xbt7cSUy,https://api.spotify.com/v1/tracks/6lfSsCL894Qw15xbt7cSUy,https://api.spotify.com/v1/audio-analysis/6lfSsCL894Qw15xbt7cSUy,230558,4
0.574,0.738,10,-5.526,1,0.0958,0.0235,2.03e-06,0.0959,0.307,109.996,audio_features,7yEuRloGyxyu1KaWBTPP1Z,spotify:track:7yEuRloGyxyu1KaWBTPP1Z,https://api.spotify.com/v1/tracks/7yEuRloGyxyu1KaWBTPP1Z,https://api.spotify.com/v1/audio-analysis/7yEuRloGyxyu1KaWBTPP1Z,247248,4
0.816,0.922,11,-2.963,0,0.149,0.178,0.0,0.373,0.887,95.006,audio_features,5XxzNB2CnNrySvyVLwyobq,spotify:track:5XxzNB2CnNrySvyVLwyobq,https://api.spotify.com/v1/tracks/5XxzNB2CnNrySvyVLwyobq,https://api.spotify.com/v1/audio-analysis/5XxzNB2CnNrySvyVLwyobq,198026,4
0.748,0.916,9,-4.242,0,0.12,0.255,0.0,0.0939,0.717,124.026,audio_features,6pz5cKRmY4soIwBSMHrGI9,spotify:track:6pz5cKRmY4soIwBSMHrGI9,https://api.spotify.com/v1/tracks/6pz5cKRmY4soIwBSMHrGI9,https://api.spotify.com/v1/audio-analysis/6pz5cKRmY4soIwBSMHrGI9,211018,4
0.81,0.846,2,-4.451,1,0.0435,0.0454,9.14e-05,0.374,0.885,123.966,audio_features,5G1H1Im43gBwssOH8XlnNU,spotify:track:5G1H1Im43gBwssOH8XlnNU,https://api.spotify.com/v1/tracks/5G1H1Im43gBwssOH8XlnNU,https://api.spotify.com/v1/audio-analysis/5G1H1Im43gBwssOH8XlnNU,178847,4
0.761,0.911,2,-2.561,1,0.136,0.0277,0.0,0.388,0.463,135.023,audio_features,4wc8pPkSIxAirW2FNGp6Pd,spotify:track:4wc8pPkSIxAirW2FNGp6Pd,https://api.spotify.com/v1/tracks/4wc8pPkSIxAirW2FNGp6Pd,https://api.spotify.com/v1/audio-analysis/4wc8pPkSIxAirW2FNGp6Pd,196138,4
0.8,0.972,10,-2.053,0,0.0405,0.15,0.00337,0.351,0.694,110.054,audio_features,7ofWUKeNCUw1P64ArIwG9b,spotify:track:7ofWUKeNCUw1P64ArIwG9b,https://api.spotify.com/v1/tracks/7ofWUKeNCUw1P64ArIwG9b,https://api.spotify.com/v1/audio-analysis/7ofWUKeNCUw1P64ArIwG9b,177383,4
0.818,0.972,2,-3.276,1,0.0802,0.318,3.72e-06,0.875,0.668,110.036,audio_features,16NMvEYAus3qS1czInNNZl,spotify:track:16NMvEYAus3qS1czInNNZl,https://api.spotify.com/v1/tracks/16NMvEYAus3qS1czInNNZl,https://api.spotify.com/v1/audio-analysis/16NMvEYAus3qS1czInNNZl,206913,4
0.809,0.873,6,-2.455,0,0.0556,0.00612,9.07e-06,0.0732,0.34,100.013,audio_features,3Eb4VbsbXMpS5Mk9HWTDia,spotify:track:3Eb4VbsbXMpS5Mk9HWTDia,https://api.spotify.com/v1/tracks/3Eb4VbsbXMpS5Mk9HWTDia,https://api.spotify.com/v1/audio-analysis/3Eb4VbsbXMpS5Mk9HWTDia,205200,4
0.798,0.905,5,-3.731,0,0.0581,0.0979,4.22e-06,0.307,0.905,105.005,audio_features,2TbCdbFzs2xO2nzasn0Qvw,spotify:track:2TbCdbFzs2xO2nzasn0Qvw,https://api.spotify.com/v1/tracks/2TbCdbFzs2xO2nzasn0Qvw,https://api.spotify.com/v1/audio-analysis/2TbCdbFzs2xO2nzasn0Qvw,164160,4
