danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,audio_features,2DlHlPMa4M17kufBvI2lEN,spotify:track:2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN,https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN,210240,4
0.538,0.981,1,-2.688,0,0.14,0.00662,0.0,0.219,0.711,101.414,audio_features,0EYOdF5FCkgOJJla8DI2Md,spotify:track:0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/tracks/0EYOdF5FCkgOJJla8DI2Md,https://api.spotify.com/v1/audio-analysis/0EYOdF5FCkgOJJla8DI2Md,255467,4
0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,audio_features,4e9eGQYsOiBcftrWXwsVco,spotify:track:4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/tracks/4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/audio-analysis/4e9eGQYsOiBcftrWXwsVco,235053,4
0.458,0.783,8,-3.226,0,0.0322,0.346,6.14e-06,0.13,0.224,113.072,audio_features,4xBHZ2Mr0gCdFYXrPZuYXO,spotify:track:4xBHZ2Mr0gCdFYXrPZuYXO,https://api.spotify.com/v1/tracks/4xBHZ2Mr0gCdFYXrPZuYXO,https://api.spotify.com/v1/audio-analysis/4xBHZ2Mr0gCdFYXrPZuYXO,167907,3
0.451,0.889,1,-2.693,1,0.261,0.00167,0.00215,0.258,0.586,131.073,audio_features,31RTFPrB7wmYBhlkM2ILXG,spotify:track:31RTFPrB7wmYBhlkM2ILXG,https://api.spotify.com/v1/tracks/31RTFPrB7wmYBhlkM2ILXG,https://api.spotify.com/v1/audio-analysis/31RTFPrB7wmYBhlkM2ILXG,153800,4
0.27,0.913,6,-4.07,1,0.0505,0.0314,0.000247,0.113,0.0634,153.732,audio_features,16gpk3oHK8Ela7QbRNGjJd,spotify:track:16gpk3oHK8Ela7QbRNGjJd,https://api.spotify.com/v1/tracks/16gpk3oHK8Ela7QbRNGjJd,https://api.spotify.com/v1/audio-analysis/16gpk3oHK8Ela7QbRNGjJd,189440,4
0.358,0.921,6,-2.467,0,0.0695,0.171,7.64e-06,0.358,0.476,139.256,audio_features,41pOIT2t1rvr2Trg1HQChZ,spotify:track:41pOIT2t1rvr2Trg1HQChZ,https://api.spotify.com/v1/tracks/41pOIT2t1rvr2Trg1HQChZ,https://api.spotify.com/v1/audio-analysis/41pOIT2t1rvr2Trg1HQChZ,249227,4
0.376,0.787,5,-4.731,0,0.0394,0.00378,0.0,0.548,0.371,87.102,audio_features,6gCVA6ja6g0foIsWv0RuSZ,spotify:track:6gCVA6ja6g0foIsWv0RuSZ,https://api.spotify.com/v1/tracks/6gCVA6ja6g0foIsWv0RuSZ,https://api.spotify.com/v1/audio-analysis/6gCVA6ja6g0foIsWv0RuSZ,176200,4
0.459,0.958,6,-2.333,1,0.0877,0.0283,0.0,0.108,0.586,142.707,audio_features,249Z7XT6mf8B2zuI0RaeS0,spotify:track:249Z7XT6mf8B2zuI0RaeS0,https://api.spotify.com/v1/tracks/249Z7XT6mf8B2zuI0RaeS0,https://api.spotify.com/v1/audio-analysis/249Z7XT6mf8B2zuI0RaeS0,211333,4
0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,audio_features,0snQkGI5qnAmohLE7jTsTn,spotify:track:0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3
